Serial_no,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
4974,Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),20:30,07:45,11h 15m,540,31 Seats available,"4.4
211",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4975,Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),17:00,05:45,12h 45m,509,35 Seats available,"4.0
15",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4976,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),18:15,06:30,12h 15m,540,32 Seats available,"4.2
188",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4977,FlixBus,Volvo A/C Seater (2+2),18:30,06:00,11h 30m,INR 674.96,17 Seats available,"4.4
18",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4978,Deltin Travels,Volvo 9600 A/C Semi Sleeper (2+2),17:45,03:45,10h 00m,INR 700,17 Seats available,"3.9
599",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4979,Deltin Travels,Volvo 9600 A/C Semi Sleeper (2+2),22:00,08:00,10h 00m,INR 700,37 Seats available,"3.8
311",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4980,City Land Travels,Volvo A/C Semi Sleeper (2+2),17:00,04:30,11h 30m,619,26 Seats available,"3.0
94",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4981,Reo India Travels,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),19:25,06:20,10h 55m,547,32 Seats available,"3.8
72",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4982,Deltin Travels,Volvo 9600 A/C Semi Sleeper (2+2),18:00,04:30,10h 30m,INR 700,17 Seats available,"3.6
426",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4983,City Land Travels,Scania Multi-Axle AC Semi Sleeper (2+2),21:00,07:20,10h 20m,619,36 Seats available,"3.0
159",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4984,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:00,08:55,10h 55m,619,35 Seats available,"3.3
205",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4985,Malana Travels,Volvo A/C Semi Sleeper (2+2),18:00,05:30,11h 30m,INR 609,34 Seats available,"3.9
45",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4986,Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),17:30,05:30,12h 00m,509,35 Seats available,"3.3
16",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4987,TANISHQ HOLIDAYS TOUR,Volvo A/C Semi Sleeper (2+2),18:00,06:00,12h 00m,850,13 Seats available,"3.5
31",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4988,Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),20:30,07:45,11h 15m,1356,41 Seats available,"3.9
5",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4989,Reo India Travels,Volvo A/C Semi Sleeper (2+2),19:35,07:35,12h 00m,520,21 Seats available,"3.3
10",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4990,Deltin Travels,Volvo 9600 A/C Semi Sleeper (2+2),21:45,08:55,11h 10m,INR 700,32 Seats available,"3.8
459",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4991,Rao Travel Heights,Volvo A/C Semi Sleeper (2+2),19:00,06:30,11h 30m,1443,41 Seats available,"3.7
34",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4992,Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),16:30,04:00,11h 30m,744,34 Seats available,"3.8
28",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4993,ROYAL SAFARI INDIA TRAVELS,Bharat Benz A/C Semi Sleeper (2+2),21:00,08:30,11h 30m,1109,29 Seats available,"3.0
24",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4994,City Land Travels,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),19:30,06:25,10h 55m,619,49 Seats available,"3.4
123",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4995,Kingfisher Busline Pvt Ltd,Volvo Multi-Axle I-Shift A/C Semi Sleeper (2+2),18:30,06:30,12h 00m,INR 599,28 Seats available,New,https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4996,SIDDHI VINAYAK TRAVELS,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),17:30,06:30,13h 00m,INR 499,36 Seats available,"2.9
29",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4997,City Land Travels,Volvo A/C Semi Sleeper (2+2),11:15,23:00,11h 45m,583,19 Seats available,"2.5
187",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4998,Cab India Travels,Volvo A/C Semi Sleeper (2+2),17:00,07:02,14h 02m,854,21 Seats available,2.8,https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
4999,Metahills holidays,Scania A/C Semi Sleeper (2+2),19:30,07:31,12h 01m,924,21 Seats available,"2.9
43",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5000,City Land Travels,Volvo A/C Semi Sleeper (2+2),13:30,02:30,13h 00m,630,26 Seats available,"2.8
133",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5001,Sonu Nath Bus Service,VE A/C Semi Sleeper (2+2),18:30,05:45,11h 15m,INR 2500,2 Seats available,New,https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5002,JN HOLIDAYS,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),19:00,05:50,10h 50m,1259,22 Seats available,"2.5
48",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5003,Travel hub,Volvo A/C Semi Sleeper (2+2),16:00,04:00,12h 00m,INR 1099,29 Seats available,"1.4
43",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5004,PAL Travel Lines,Volvo A/C Semi Sleeper (2+2),18:25,04:55,10h 30m,674,29 Seats available,"2.9
42",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5005,Northern Travels,Volvo A/C Semi Sleeper (2+2),18:30,07:15,12h 45m,INR 499,41 Seats available,"1.8
13",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5006,Subh Yatri Holidays,Volvo A/C Semi Sleeper (2+2),17:30,05:00,11h 30m,696,33 Seats available,"2.9
21",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5007,Northern Travels,Volvo A/C Semi Sleeper (2+2),17:30,06:30,13h 00m,630,29 Seats available,"2.3
28",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5008,Himgiri Adventure Tour,Bharat Benz A/C Semi Sleeper (2+2),18:00,06:30,12h 30m,INR 1315,29 Seats available,"2.5
22",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5009,Subh Yatri Holidays,Volvo A/C Semi Sleeper (2+2),18:30,05:45,11h 15m,696,33 Seats available,"2.9
7",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5010,G.T.SHolidays,Bharat Benz A/C Semi Sleeper (2+2),18:30,06:00,11h 30m,809,31 Seats available,"1.2
31",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5011,RAO TRAVELS INDIA PVT LTD.,Mercedes Benz A/C (2+2),17:30,07:30,14h 00m,INR 1480,49 Seats available,"2.3
22",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5012,ABHI TRAVELS,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),18:00,05:30,11h 30m,949,25 Seats available,"1.6
10",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5013,Zakir Flights,Volvo A/C Semi Sleeper (2+2),18:30,06:00,11h 30m,1619,31 Seats available,"2.8
21",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5014,RAO TRAVELS INDIA PVT LTD.,Mercedes Benz A/C (2+2),17:00,05:00,12h 00m,INR 1555,46 Seats available,"1.6
9",https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5015,Sugam Yatra,Bharat Benz A/C Semi Sleeper (2+2),18:00,07:00,13h 00m,INR 1800,33 Seats available,4.1,https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5016,SWAGATAM TOUR HOLIDAY,Volvo A/C Multi-Axle Semi Sleeper (2+2),18:30,06:30,12h 00m,INR 1799,49 Seats available, ,https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5017,Holiday Appeal Private Limited,Non AC Seater (2+2),20:00,08:00,12h 00m,1709,28 Seats available,3.6,https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5018,Heera Himachal Holidays,Volvo A/C Semi Sleeper (2+2),17:30,08:00,14h 30m,INR 1399,29 Seats available,3,https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5019,SIDDHI VINAYAK TRAVELS,Volvo A/C Semi Sleeper (2+2),18:00,07:00,13h 00m,INR 550,21 Seats available,2.9,https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5020,Yatrabybus.com,Bharat Benz A/C Semi Sleeper (2+2),18:00,04:00,10h 00m,INR 1199,49 Seats available,2.2,https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5021,Royal Travels Hills,Volvo A/C Semi Sleeper (2+2),18:00,06:00,12h 00m,INR 1099,29 Seats available,1.9,https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5022,Travel hub,Volvo A/C Semi Sleeper (2+2),19:30,07:30,12h 00m,INR 1099,27 Seats available,1.4,https://www.redbus.in/bus-tickets/manali-to-delhi,Manali to Delhi
5023,Mahi Travels(Under ASTC),Bharat Benz A/C Seater (2+2),10:40,14:50,04h 10m,359,11 Seats available,3.1,https://www.redbus.in/bus-tickets/guwahati-to-kaliabor,Guwahati to Kaliabor
5024,Kanchan Travels,AC Seater (2+2),10:45,14:45,04h 00m,INR 329,32 Seats available,4,https://www.redbus.in/bus-tickets/guwahati-to-kaliabor,Guwahati to Kaliabor
5025,Orient Transline,A/C Seater (2+1),11:30,15:00,03h 30m,INR 380.95,19 Seats available,4,https://www.redbus.in/bus-tickets/guwahati-to-kaliabor,Guwahati to Kaliabor
5026,Trishul Transport Service(Under ASTC),A/C Seater Push Back (2+1),11:30,14:45,03h 15m,509,30 Seats available,3.9,https://www.redbus.in/bus-tickets/guwahati-to-kaliabor,Guwahati to Kaliabor
5027,Anindita Travels,NON A/C Seater (2+1),12:30,17:15,04h 45m,405,37 Seats available,4.1,https://www.redbus.in/bus-tickets/guwahati-to-kaliabor,Guwahati to Kaliabor
5028,Orient Transline,A/C Seater (2+1),13:00,16:20,03h 20m,INR 380.95,37 Seats available,4,https://www.redbus.in/bus-tickets/guwahati-to-kaliabor,Guwahati to Kaliabor
5029,Mahalaxmi Travels,A/C Seater (2+2),14:35,17:25,02h 50m,INR 280,34 Seats available,4.1,https://www.redbus.in/bus-tickets/guwahati-to-kaliabor,Guwahati to Kaliabor
5030,TRINAYAN TRANSPORT (Under ASTC),A/C Seater (2+1),20:15,01:15,05h 00m,405,35 Seats available,3.8,https://www.redbus.in/bus-tickets/guwahati-to-kaliabor,Guwahati to Kaliabor
5031,BAIKUNTHA TRAVELS (UNDER ASTC),A/C Seater/Sleeper (2+1),20:00,23:15,03h 15m,439,47 Seats available,3.3,https://www.redbus.in/bus-tickets/guwahati-to-kaliabor,Guwahati to Kaliabor
5032,Rishi India Travels,Bharat Benz A/C Seater (2+1),13:15,16:15,03h 00m,450,30 Seats available,2.9,https://www.redbus.in/bus-tickets/guwahati-to-kaliabor,Guwahati to Kaliabor
5033,Mahi Travels(Under ASTC),A/C Seater (2+2),14:15,17:30,03h 15m,389,44 Seats available,"2.4
11",https://www.redbus.in/bus-tickets/guwahati-to-kaliabor,Guwahati to Kaliabor
5034,Rishi India Travels,A/C Seater (2+1),15:15,18:20,03h 05m,450,35 Seats available,"2.9
6",https://www.redbus.in/bus-tickets/guwahati-to-kaliabor,Guwahati to Kaliabor
5035,Puja (Kaybom),A/C Seater Push Back (2+2),17:20,20:30,03h 10m,285,40 Seats available,New,https://www.redbus.in/bus-tickets/guwahati-to-kaliabor,Guwahati to Kaliabor
5036,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Sleeper (2+1),22:15,04:15,06h 00m,759,30 Seats available,"4.4
91",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
5037,New Khaira TPT,AC Sleeper (2+1),20:30,02:50,06h 20m,INR 900,26 Seats available,"3.3
14",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
5038,New Khaira Transport,A/C Seater / Sleeper (2+2),21:00,03:30,06h 30m,INR 450,21 Seats available,"1.8
43",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
5039,Rahul Travels,AshokLeyland Stile A/C,21:00,02:00,05h 00m,INR 699,29 Seats available,"1.9
6",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
5040,FlixBus,AC Seater (2+2),23:35,05:00,05h 25m,INR 292.16,18 Seats available,"4.2
30",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
5041,SHRI RAM TRAVELS,A/C Seater (2+2),23:59,05:15,05h 16m,INR 740,16 Seats available,"3.9
22",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
5042,New Khaira Transport,A/C Seater / Sleeper (2+1),20:40,03:30,06h 50m,540,14 Seats available,"3.1
11",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
5043,FlixBus,Bharat Benz A/C Seater (2+2),17:15,22:25,05h 10m,INR 202.4,37 Seats available,"5.0
7",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
5044,SHRI RAM TRAVELS,A/C Seater (2+2),18:00,23:15,05h 15m,INR 740,19 Seats available,"3.4
10",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
5045,SHRI RAM TRAVELS,A/C Seater (2+2),22:45,04:45,06h 00m,INR 740,17 Seats available,"2.8
15",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
5046,Jaiswal Tour and Travels,A/C Seater/Sleeper (2+1),20:30,02:30,06h 00m,INR 700,52 Seats available,"1.3
6",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
5047,Rahul Travels,AshokLeyland Stile A/C,21:30,02:30,05h 00m,INR 699,28 Seats available,1.9,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
5048,New Khaira TPT,A/C Seater / Sleeper (2+2),21:00,03:00,06h 00m,INR 550,42 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
5049,SHRI RAM TRAVELS,A/C Seater (2+2),21:20,03:15,05h 55m,INR 705,16 Seats available,3.2,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
5050,Jaiswal Tour and Travels,A/C Sleeper (2+1),20:45,02:45,06h 00m,INR 1099,30 Seats available,1.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
5051,Jaiswal Tour and Travels,A/C Sleeper (2+1),21:00,03:00,06h 00m,INR 1200,29 Seats available,1.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
5052,Chaturvedi Bus Service,A/C Seater/Sleeper (2+1),21:45,02:00,04h 15m,INR 2000,47 Seats available, ,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
5053,UPSRTC - BDV0078,Janrath AC Seater 2+2,12:29,21:59,09h 30m,INR 1180,36 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5054,UPSRTC - KRJ0019,Ordinary Non AC Seater 2+3,12:30,13:00,00h 30m,INR 746,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5055,UPSRTC - KRJ0023,Ordinary Non AC Seater 2+3,13:00,01:30,12h 30m,INR 746,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5056,UPSRTC - LNI0568,Ordinary Non AC Seater 2+3,14:32,00:38,10h 06m,INR 789,52 Seats available, ,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5057,UPSRTC - LNI0322,Ordinary Non AC Seater 2+3,14:35,01:00,10h 25m,INR 789,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5058,UPSRTC - SBD0067,Ordinary Non AC Seater 2+3,15:00,02:00,11h 00m,INR 789,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5059,UPSRTC - BRT0007,Ordinary Non AC Seater 2+3,15:00,04:00,13h 00m,INR 820,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5060,UPSRTC - LNI0017,Rajdhani Non AC Seater 2+3,16:00,03:00,11h 00m,INR 789,51 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5061,UPSRTC - BSR0053,Ordinary Non AC Seater 2+3,16:02,03:30,11h 28m,INR 746,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5062,UPSRTC - BSR0057,Rajdhani Non AC Seater 2+3,16:02,03:02,11h 00m,INR 808,51 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5063,UPSRTC - LNI0301,Rajdhani Non AC Seater 2+3,16:25,02:25,10h 00m,INR 789,51 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5064,UPSRTC - LNI0194,Ordinary Non AC Seater 2+3,16:31,02:50,10h 19m,INR 789,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5065,UPSRTC - SRG0230,Ordinary Non AC Seater 2+3,16:47,04:45,11h 58m,INR 789,52 Seats available, ,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5066,UPSRTC - AWD0224,Shatabdi AC Seater 2+2,17:00,05:00,12h 00m,INR 1134,37 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5067,UPSRTC - KRJ0031,Janrath AC Seater 2+3,17:00,02:00,09h 00m,INR 1020,48 Seats available,"2.4
7",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5068,UPSRTC - KSB0919,Shatabdi AC Seater 2+2,17:01,05:31,12h 30m,INR 1134,37 Seats available, ,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5069,UPSRTC - GRH0126,Ordinary Non AC Seater 2+3,17:30,06:30,13h 00m,INR 789,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5070,UPSRTC - LNI0547,Ordinary Non AC Seater 2+3,17:51,08:01,14h 10m,INR 853,52 Seats available, ,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5071,UPSRTC - ALI0162,Janrath AC Seater 2+2,18:04,04:20,10h 16m,INR 1180,36 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5072,UPSRTC - SLP0052,Ordinary Non AC Seater 2+3,18:30,04:00,09h 30m,INR 822,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5073,UPSRTC - BRT0037,Ordinary Non AC Seater 2+3,19:00,08:00,13h 00m,INR 821,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5074,UPSRTC - SBD0046,Pink Express AC Seater 2+2,19:00,04:00,09h 00m,INR 1180,41 Seats available,"2.7
12",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5075,UPSRTC - SBD0047,Pink Express AC Seater 2+2,19:00,06:00,11h 00m,INR 1134,41 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5076,UPSRTC - SBD0113,Pink Express AC Seater 2+2,19:01,06:00,10h 59m,INR 1134,40 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5077,UPSRTC - AWD0191,Janrath AC Seater 2+2,19:30,03:10,07h 40m,INR 1151,36 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5078,UPSRTC - BRT0066,Ordinary Non AC Seater 2+3,19:30,08:35,13h 05m,INR 820,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5079,UPSRTC - AWD0116,Janrath AC Seater 2+3,19:30,07:30,12h 00m,INR 979,48 Seats available,"3.4
8",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5080,UPSRTC - GND0100,Ordinary Non AC Seater 2+3,19:45,08:00,12h 15m,INR 803,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5081,UPSRTC - NDD0246,Ordinary Non AC Seater 2+3,20:18,04:30,08h 12m,INR 822,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5082,UPSRTC - AWD0190,Janrath AC Seater 2+2,20:31,04:30,07h 59m,INR 1180,36 Seats available,"1.9
7",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5083,UPSRTC - SBD0093,Janrath AC Seater 2+2,21:00,07:00,10h 00m,INR 1134,36 Seats available,"3.3
7",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5084,UPSRTC - SBD0118,Pink Express AC Seater 2+2,21:01,07:00,09h 59m,INR 1134,41 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5085,UPSRTC - CBG0128,Janrath AC Seater 2+2,21:31,06:23,08h 52m,INR 1151,36 Seats available,"2.1
5",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5086,UPSRTC - SLP0017,Rajdhani Non AC Seater 2+3,22:00,06:30,08h 30m,INR 853,51 Seats available,"1.3
5",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5087,UPSRTC - SBD0055,Pink Express AC Seater 2+2,22:00,09:00,11h 00m,INR 1134,41 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5088,UPSRTC - AWD0189,Janrath AC Seater 2+2,22:01,05:30,07h 29m,INR 1151,36 Seats available,"3.3
16",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5089,UPSRTC - SBD0114,Pink Express AC Seater 2+2,22:01,08:00,09h 59m,INR 1134,41 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5090,UPSRTC - AWD0188,Janrath AC Seater 2+2,22:31,06:30,07h 59m,INR 1180,36 Seats available,"4.0
26",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5091,UPSRTC - KSB0067,Janrath AC Seater 2+2,23:00,07:45,08h 45m,INR 1180,36 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5092,UPSRTC - SBD0042,Janrath AC Seater 2+2,23:45,07:25,07h 40m,INR 1151,36 Seats available,"2.8
11",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5093,PTC-SKYBUS,VE A/C Seater / Sleeper (2+1),11:15,19:30,08h 15m,INR 399,28 Seats available,"4.6
761",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5094,Gola Bus Service,VE A/C Seater / Sleeper (2+1),22:20,07:00,08h 40m,INR 399,27 Seats available,"4.6
924",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5095,Gola Bus Service,VE A/C Seater / Sleeper (2+1),13:20,21:00,07h 40m,INR 449,32 Seats available,"4.5
1331",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5096,AdRaj Kalpana Travels Pvt.ltd.,Bharat Benz A/C Seater /Sleeper (2+1),13:00,21:00,08h 00m,INR 399,33 Seats available,"4.2
602",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5097,PTC-SKYBUS,VE A/C Seater / Sleeper (2+1),13:00,21:15,08h 15m,INR 399,38 Seats available,"4.5
631",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5098,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:00,06:15,08h 15m,INR 372,42 Seats available,"4.7
412",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5099,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),21:00,05:15,08h 15m,INR 390,36 Seats available,"4.8
742",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5100,AdRaj Kalpana Travels Pvt.Ltd,Bharat Benz A/C Seater /Sleeper (2+1),22:50,05:50,07h 00m,INR 633,40 Seats available,"4.2
95",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5101,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:45,07:35,07h 50m,INR 339,33 Seats available,"4.6
564",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5102,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),21:40,06:45,09h 05m,523,32 Seats available,"4.5
1069",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5103,Raj Kalpana Travels Pvt.ltd.,A/C Seater/Sleeper (2+1),22:30,06:00,07h 30m,INR 399,39 Seats available,"4.6
1485",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5104,Fouji travels,A/C Seater / Sleeper (2+1),22:10,06:00,07h 50m,INR 399,28 Seats available,"4.5
1032",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5105,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:55,07:40,07h 45m,INR 359,40 Seats available,"4.8
635",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5106,Fouji travels,VE A/C Seater / Sleeper (2+1),22:30,06:20,07h 50m,INR 399,30 Seats available,"4.5
1262",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5107,Raj Kalpana Travels Pvt.ltd.,VE A/C Seater (2+2),14:20,21:50,07h 30m,INR 649,34 Seats available,"4.4
703",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5108,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:50,05:35,07h 45m,INR 380,38 Seats available,"4.5
321",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
5109,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),22:35,06:20,07h 45m,INR 399,36 Seats available,"4.7
382",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
